,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.048,0.043,0.090,0.127,0.145,0.198,0.296,,0.142,0.106,0.092,0.129
DCC_joint,0.039,0.037,0.147,0.191,0.212,0.217,0.232,,0.195,0.103,0.103,0.148
DCC_bivariate_loop,0.045,0.043,0.089,0.121,0.139,0.141,0.158,,0.123,0.101,0.079,0.104
SW_cross_validated,0.130,0.145,0.162,0.193,0.212,0.228,0.250,,0.203,0.175,0.145,0.184
SW_15,0.294,0.297,0.299,0.298,0.301,0.302,0.311,,0.303,0.294,0.293,0.299
SW_30,0.210,0.215,0.206,0.215,0.219,0.225,0.232,,0.224,0.224,0.212,0.218
SW_60,0.156,0.164,0.145,0.168,0.186,0.227,0.276,,0.185,0.184,0.162,0.185
SW_120,0.131,0.143,0.130,0.204,0.306,0.381,0.402,,0.184,0.171,0.140,0.219
sFC,0.033,0.025,0.326,0.328,0.328,0.326,0.327,,0.377,0.099,0.142,0.231
