,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.44,1.02,7.44,10.63,7.73,5.55,5.70,2.22
DCC_joint,,1.44,,0.36,9.59,11.77,8.88,6.67,7.06,0.82
DCC_bivariate_loop,,1.02,0.36,,8.63,11.31,8.45,6.27,6.55,1.13
SW_cross_validated,,7.44,9.59,8.63,,6.26,3.06,0.69,0.06,10.63
SW_15,,10.63,11.77,11.31,6.26,,2.73,4.63,5.51,12.30
SW_30,,7.73,8.88,8.45,3.06,2.73,,1.92,2.63,9.43
SW_60,,5.55,6.67,6.27,0.69,4.63,1.92,,0.55,7.22
SW_120,,5.70,7.06,6.55,0.06,5.51,2.63,0.55,,7.72
sFC,,2.22,0.82,1.13,10.63,12.30,9.43,7.22,7.72,
