,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0681,1.,1.,0.2686,1.,1.,0.0000,0.0000
DCC_joint,nan,-3.6355,-,0.005,0.0003,1.,0.0007,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-1.4743,4.8168,-,1.,0.5985,1.,0.7154,0.0000,0.0000
SW_cross_validated,nan,-0.326,6.1404,2.0962,-,0.0506,1.,1.,0.0000,0.0000
SW_15,nan,-3.0137,-0.0745,-2.6403,-3.7686,-,0.0432,0.0278,0.0006,0.0001
SW_30,nan,-0.0593,5.7217,2.2464,0.3969,3.8402,-,1.,0.0000,0.0000
SW_60,nan,-0.2353,7.1065,2.5554,0.1788,4.037,-0.2679,-,0.0000,0.0000
SW_120,nan,-8.6125,-11.9827,-16.9455,-16.0204,-5.8515,-14.0332,-18.487,-,0.8169
sFC,nan,-9.6054,-17.466,-23.4755,-19.981,-7.0024,-16.6966,-24.2695,-2.4918,-
