,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.7534,1.,1.,0.0180,1.,1.,1.,0.2562
DCC_joint,nan,2.5307,-,1.,0.0206,0.0000,0.0005,0.0009,0.0272,1.
DCC_bivariate_loop,nan,2.1295,-0.5221,-,0.0545,0.0000,0.0018,0.0040,0.1206,1.
SW_cross_validated,nan,-1.2484,-4.1722,-3.7352,-,0.3723,1.,1.,1.,0.0076
SW_15,nan,-4.2327,-9.3441,-8.6419,-2.8629,-,0.4085,0.0158,0.0003,0.0000
SW_30,nan,-1.9403,-5.8711,-5.2862,-0.5389,2.8197,-,1.,0.6072,0.0002
SW_60,nan,-1.2909,-5.5901,-4.9118,0.239,4.2933,1.0246,-,1.,0.0004
SW_120,nan,-0.1161,-4.0472,-3.3782,1.4897,6.1423,2.6335,1.8438,-,0.0082
sFC,nan,3.0353,0.8248,1.2934,4.6226,9.503,6.2669,6.0028,4.5864,-
