,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0416,0.4129,0.3402,0.0000,0.0000,0.0000,0.0074,0.0952
DCC_joint,,0.0416,,0.2548,0.0031,0.0000,0.0000,0.0000,0.0001,0.6399
DCC_bivariate_loop,,0.4129,0.2548,,0.0883,0.0000,0.0000,0.0000,0.0020,0.4561
SW_cross_validated,,0.3402,0.0031,0.0883,,0.0000,0.0000,0.0000,0.0301,0.0083
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0001,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,,0.0204,0.0000
SW_120,,0.0074,0.0001,0.0020,0.0301,0.0000,0.0000,0.0204,,0.0002
sFC,,0.0952,0.6399,0.4561,0.0083,0.0000,0.0000,0.0000,0.0002,
