,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.83,1.92,4.23,7.86,4.23,3.67,5.30,1.75
DCC_joint,,1.83,,0.24,5.98,9.04,5.38,5.22,7.64,0.70
DCC_bivariate_loop,,1.92,0.24,,5.91,8.99,5.39,5.20,7.39,0.91
SW_cross_validated,,4.23,5.98,5.91,,4.64,1.09,0.24,0.21,6.39
SW_15,,7.86,9.04,8.99,4.64,,3.08,4.69,4.79,9.26
SW_30,,4.23,5.38,5.39,1.09,3.08,,1.24,1.01,5.44
SW_60,,3.67,5.22,5.20,0.24,4.69,1.24,,0.47,5.44
SW_120,,5.30,7.64,7.39,0.21,4.79,1.01,0.47,,8.85
sFC,,1.75,0.70,0.91,6.39,9.26,5.44,5.44,8.85,
