,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.40,0.27,0.68,3.36,2.08,1.06,0.52,0.63
DCC_joint,,0.40,,0.12,1.08,3.69,2.47,1.45,0.89,0.22
DCC_bivariate_loop,,0.27,0.12,,0.94,3.55,2.32,1.31,0.77,0.35
SW_cross_validated,,0.68,1.08,0.94,,2.84,1.47,0.41,0.10,1.34
SW_15,,3.36,3.69,3.55,2.84,,1.51,2.47,2.79,3.91
SW_30,,2.08,2.47,2.32,1.47,1.51,,1.06,1.47,2.73
SW_60,,1.06,1.45,1.31,0.41,2.47,1.06,,0.47,1.71
SW_120,,0.52,0.89,0.77,0.10,2.79,1.47,0.47,,1.11
sFC,,0.63,0.22,0.35,1.34,3.91,2.73,1.71,1.11,
