,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0004,0.0017,0.0000,0.0000,0.0132,0.0000,0.0000
DCC_joint,nan,-15.9343,-,0.0000,0.0000,1.,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-6.0555,13.2393,-,1.,0.0000,0.3838,1.,1.,0.0000
SW_cross_validated,nan,-5.3036,10.5726,-1.0202,-,0.0000,1.,1.,1.,0.0000
SW_15,nan,-16.4255,1.8638,-13.4915,-9.9712,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-7.1638,9.7885,-2.8488,-1.3456,9.0984,-,0.0403,1.,0.0000
SW_60,nan,-4.3734,13.754,1.6051,2.0604,14.0076,3.8705,-,0.4706,0.0000
SW_120,nan,-7.0913,12.6648,-1.2492,0.2382,12.804,2.0195,-2.7536,-,0.0000
sFC,nan,-78.4684,-27.2179,-106.0323,-52.8114,-37.5855,-56.1096,-90.6363,-107.7428,-
