,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,12.8596,-,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.
DCC_bivariate_loop,nan,12.231,-4.8504,-,0.0000,0.0000,0.0000,0.4247,0.0000,0.
SW_cross_validated,nan,10.2529,-13.3965,-9.9397,-,0.0000,1.,0.0000,0.0000,0.0000
SW_15,nan,5.3592,-40.4221,-36.5571,-21.39,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,10.5849,-13.2228,-9.3435,1.3687,24.3575,-,0.0000,0.0000,0.0000
SW_60,nan,11.773,-6.5093,-2.5298,6.9976,30.7941,6.0937,-,0.0000,0.
SW_120,nan,8.8936,-22.1283,-18.3248,-6.1885,15.9867,-8.1072,-14.2424,-,0.0000
sFC,nan,-6.2995,-212.8709,-195.2678,-100.2333,-71.8209,-118.4737,-136.5848,-99.376,-
