,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,3.53,3.72,7.23,15.58,12.29,12.08,8.48,1.48
DCC_joint,,3.53,,1.12,2.89,11.45,8.54,7.04,4.11,-1.67
DCC_bivariate_loop,,3.72,1.12,,1.11,8.66,6.21,4.43,2.12,-2.41
SW_cross_validated,,7.23,2.89,1.11,,9.21,6.29,4.29,1.33,-4.61
SW_15,,15.58,11.45,8.66,9.21,,-2.52,-5.57,-7.95,-12.86
SW_30,,12.29,8.54,6.21,6.29,-2.52,,-2.70,-5.09,-9.94
SW_60,,12.08,7.04,4.43,4.29,-5.57,-2.70,,-2.87,-8.75
SW_120,,8.48,4.11,2.12,1.33,-7.95,-5.09,-2.87,,-5.79
sFC,,1.48,-1.67,-2.41,-4.61,-12.86,-9.94,-8.75,-5.79,
