,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,1.18,-43.19,-39.84,-35.30,75.33,145.21,129.89
DCC_bivariate_loop,,,1.18,,-44.28,-40.96,-36.44,74.02,143.91,128.45
SW_cross_validated,,,-43.19,-44.28,,4.27,9.24,113.98,174.50,161.94
SW_15,,,-39.84,-40.96,4.27,,5.03,113.22,176.67,164.25
SW_30,,,-35.30,-36.44,9.24,5.03,,110.27,175.80,163.34
SW_60,,,75.33,74.02,113.98,113.22,110.27,,86.45,60.29
SW_120,,,145.21,143.91,174.50,176.67,175.80,86.45,,-56.02
sFC,,,129.89,128.45,161.94,164.25,163.34,60.29,-56.02,
