,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-4.63,-1.70,9.85,47.32,31.36,16.37,8.71,-7.51
DCC_joint,,-4.63,,2.94,14.66,52.68,37.87,22.25,13.18,-2.97
DCC_bivariate_loop,,-1.70,2.94,,11.62,49.30,33.72,18.51,10.36,-5.85
SW_cross_validated,,9.85,14.66,11.62,,37.22,19.45,5.07,-0.65,-17.50
SW_15,,47.32,52.68,49.30,37.22,,-22.24,-35.42,-36.62,-55.53
SW_30,,31.36,37.87,33.72,19.45,-22.24,,-16.07,-19.24,-41.50
SW_60,,16.37,22.25,18.51,5.07,-35.42,-16.07,,-5.53,-25.68
SW_120,,8.71,13.18,10.36,-0.65,-36.62,-19.24,-5.53,,-15.83
sFC,,-7.51,-2.97,-5.85,-17.50,-55.53,-41.50,-25.68,-15.83,
