,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.2235,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,,,0.2235,,0.0000,0.0891,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,,,0.0000,0.0000,,0.0000,0.4916,0.0000,0.5561,0.0000
SW_15,,,0.0023,0.0891,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,,0.0000,0.0000,0.4916,0.0000,,0.0000,0.2004,0.0000
SW_60,,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000
SW_120,,,0.0000,0.0000,0.5561,0.0000,0.2004,0.0000,,0.0000
sFC,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
