,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.18,0.46,1.40,0.64,1.00,0.27,4.40
DCC_bivariate_loop,,,0.18,,0.61,1.21,0.82,1.15,0.13,4.20
SW_cross_validated,,,0.46,0.61,,1.60,0.09,0.48,0.62,4.01
SW_15,,,1.40,1.21,1.60,,2.00,2.14,0.77,3.11
SW_30,,,0.64,0.82,0.09,2.00,,0.45,0.76,4.89
SW_60,,,1.00,1.15,0.48,2.14,0.45,,1.06,4.53
SW_120,,,0.27,0.13,0.62,0.77,0.76,1.06,,2.98
sFC,,,4.40,4.20,4.01,3.11,4.89,4.53,2.98,
