,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,7.51,0.66,0.96,0.41,1.77,2.32,0.48,50.41
DCC_joint,,7.51,,6.23,6.69,6.59,7.78,8.40,7.72,10.16
DCC_bivariate_loop,,0.66,6.23,,0.09,0.23,1.94,2.29,0.98,26.58
SW_cross_validated,,0.96,6.69,0.09,,0.37,2.34,2.89,1.37,36.90
SW_15,,0.41,6.59,0.23,0.37,,1.81,2.17,0.76,29.70
SW_30,,1.77,7.78,1.94,2.34,1.81,,0.11,1.44,29.89
SW_60,,2.32,8.40,2.29,2.89,2.17,0.11,,1.90,39.45
SW_120,,0.48,7.72,0.98,1.37,0.76,1.44,1.90,,50.05
sFC,,50.41,10.16,26.58,36.90,29.70,29.89,39.45,50.05,
