,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,11.57,3.46,6.32,15.45,8.33,5.34,11.78,18.24
DCC_joint,,11.57,,7.54,4.38,5.88,3.31,3.72,3.69,10.66
DCC_bivariate_loop,,3.46,7.54,,2.81,11.45,4.52,2.26,8.69,14.18
SW_cross_validated,,6.32,4.38,2.81,,8.41,1.47,0.18,6.33,11.20
SW_15,,15.45,5.88,11.45,8.41,,8.23,6.87,0.52,4.48
SW_30,,8.33,3.31,4.52,1.47,8.23,,1.41,5.62,11.91
SW_60,,5.34,3.72,2.26,0.18,6.87,1.41,,5.73,8.89
SW_120,,11.78,3.69,8.69,6.33,0.52,5.62,5.73,,1.36
sFC,,18.24,10.66,14.18,11.20,4.48,11.91,8.89,1.36,
