,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.028,0.023,0.021,0.022,0.060,0.003,0.017,0.013,0.007,0.013,0.021
DCC_joint,0.015,0.014,0.018,0.012,0.013,0.013,0.009,0.011,0.016,0.006,0.010,0.012
DCC_bivariate_loop,0.016,0.015,0.019,0.012,0.013,0.012,0.010,0.012,0.017,0.006,0.011,0.013
SW_cross_validated,0.013,0.022,0.017,0.020,0.016,0.027,0.018,0.011,0.021,0.010,0.023,0.018
SW_15,0.012,0.020,0.021,0.011,0.017,0.018,0.016,0.009,0.021,0.020,0.015,0.016
SW_30,0.012,0.023,0.014,0.018,0.013,0.017,0.018,0.007,0.018,0.014,0.018,0.016
SW_60,0.015,0.022,0.015,0.021,0.014,0.016,0.013,0.010,0.026,0.012,0.012,0.016
SW_120,0.017,0.016,0.014,0.018,0.010,0.010,0.007,0.010,0.019,0.012,0.013,0.013
sFC,0.023,0.010,0.003,0.004,0.003,0.002,0.003,0.003,0.005,0.004,0.004,0.006
