,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.06,0.45,5.94,14.00,10.39,6.65,4.16,0.77
DCC_joint,,0.06,,0.58,6.86,15.54,11.87,7.64,4.54,0.78
DCC_bivariate_loop,,0.45,0.58,,7.22,16.63,12.93,8.09,4.40,1.47
SW_cross_validated,,5.94,6.86,7.22,,11.39,6.48,1.13,0.55,8.10
SW_15,,14.00,15.54,16.63,11.39,,5.92,10.30,8.81,16.83
SW_30,,10.39,11.87,12.93,6.48,5.92,,5.24,4.82,13.28
SW_60,,6.65,7.64,8.09,1.13,10.30,5.24,,1.28,8.88
SW_120,,4.16,4.54,4.40,0.55,8.81,4.82,1.28,,5.32
sFC,,0.77,0.78,1.47,8.10,16.83,13.28,8.88,5.32,
