,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,21.01,-2.56,19.98,59.10,31.21,16.28,30.38,87.66
DCC_joint,,21.01,,-30.60,2.34,50.64,14.20,-6.89,14.26,100.84
DCC_bivariate_loop,,-2.56,-30.60,,26.54,76.68,42.94,24.78,40.06,134.64
SW_cross_validated,,19.98,2.34,26.54,,38.99,9.03,-7.70,9.71,65.02
SW_15,,59.10,50.64,76.68,38.99,,-35.83,-57.90,-30.99,18.98
SW_30,,31.21,14.20,42.94,9.03,-35.83,,-21.09,1.58,73.45
SW_60,,16.28,-6.89,24.78,-7.70,-57.90,-21.09,,20.33,116.11
SW_120,,30.38,14.26,40.06,9.71,-30.99,1.58,20.33,,58.72
sFC,,87.66,100.84,134.64,65.02,18.98,73.45,116.11,58.72,
