,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0714,0.0000,0.0000,0.0000,0.0034,1.
DCC_joint,nan,-1.4485,-,0.0674,0.1894,0.0000,0.0000,0.0000,0.001,0.0418
DCC_bivariate_loop,nan,0.7491,3.6401,-,0.0048,0.0000,0.0000,0.0000,0.0000,1.
SW_cross_validated,nan,-3.6144,-3.1735,-4.8308,-,0.0000,0.0016,1.,1.,0.0052
SW_15,nan,-19.8028,-37.3617,-37.4885,-10.7749,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-12.6346,-21.922,-23.7825,-5.3448,17.8683,-,0.0000,0.0000,0.0000
SW_60,nan,-7.2504,-10.7856,-13.67,-1.2819,27.8616,11.3042,-,1.,0.0000
SW_120,nan,-4.9945,-5.5815,-8.208,-0.0039,20.3463,9.9072,2.3049,-,0.0000
sFC,nan,0.5356,3.8548,-0.4417,4.7991,47.9951,29.496,16.2045,8.7542,-
