,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.030,0.054,0.071,0.083,0.196,0.251,,0.091,0.081,0.068,0.095
DCC_joint,0.048,0.041,0.143,0.171,0.185,0.193,0.201,,0.165,0.084,0.095,0.133
DCC_bivariate_loop,0.058,0.048,0.092,0.116,0.126,0.135,0.142,,0.118,0.082,0.079,0.100
SW_cross_validated,0.082,0.062,0.104,0.133,0.139,0.158,0.176,,0.121,0.113,0.088,0.117
SW_15,0.233,0.202,0.211,0.207,0.204,0.201,0.204,,0.208,0.216,0.206,0.209
SW_30,0.165,0.141,0.156,0.148,0.142,0.146,0.149,,0.149,0.154,0.146,0.150
SW_60,0.119,0.098,0.114,0.122,0.134,0.172,0.209,,0.120,0.127,0.116,0.133
SW_120,0.095,0.081,0.104,0.162,0.241,0.306,0.327,,0.123,0.116,0.102,0.166
sFC,0.041,0.028,0.270,0.270,0.271,0.271,0.270,,0.312,0.083,0.122,0.194
