,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.87,3.93,-3.02,-1.40,-3.49,-1.68,3.28,65.50
DCC_joint,,2.87,,1.31,-8.04,-4.47,-8.06,-6.01,-0.14,85.15
DCC_bivariate_loop,,3.93,1.31,,-9.38,-5.51,-9.30,-7.33,-1.81,80.23
SW_cross_validated,,-3.02,-8.04,-9.38,,1.21,-1.02,1.97,12.30,152.07
SW_15,,-1.40,-4.47,-5.51,1.21,,-1.79,0.06,5.16,67.34
SW_30,,-3.49,-8.06,-9.30,-1.02,-1.79,,2.64,10.99,114.12
SW_60,,-1.68,-6.01,-7.33,1.97,0.06,2.64,,8.45,122.12
SW_120,,3.28,-0.14,-1.81,12.30,5.16,10.99,8.45,,192.72
sFC,,65.50,85.15,80.23,152.07,67.34,114.12,122.12,192.72,
