,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.1256,0.0016,0.7064,0.0120,0.0005,0.0024,0.8250,0.3937
DCC_joint,,0.1256,,0.0000,0.0017,0.0100,0.0000,0.0001,0.0087,0.1421
DCC_bivariate_loop,,0.0016,0.0000,,0.0000,0.1937,0.3489,0.7266,0.0000,0.0000
SW_cross_validated,,0.7064,0.0017,0.0000,,0.0001,0.0000,0.0000,0.3432,0.0576
SW_15,,0.0120,0.0100,0.1937,0.0001,,0.0443,0.3162,0.0004,0.0036
SW_30,,0.0005,0.0000,0.3489,0.0000,0.0443,,0.2103,0.0000,0.0000
SW_60,,0.0024,0.0001,0.7266,0.0000,0.3162,0.2103,,0.0000,0.0001
SW_120,,0.8250,0.0087,0.0000,0.3432,0.0004,0.0000,0.0000,,0.2649
sFC,,0.3937,0.1421,0.0000,0.0576,0.0036,0.0000,0.0001,0.2649,
