,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,0.0001,1.,0.0000,1.,1.,1.,0.0000
DCC_joint,nan,-1.3272,-,0.0000,1.,0.0000,0.6574,0.0000,0.2502,0.0000
DCC_bivariate_loop,nan,4.8184,41.5755,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.
SW_cross_validated,nan,-1.1386,0.9741,-32.7736,-,0.0000,1.,0.0000,1.,0.0000
SW_15,nan,-6.1827,-29.3001,-68.6657,-25.6229,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-0.9324,2.37,-35.9254,1.0714,29.6962,-,0.0000,1.,0.0000
SW_60,nan,1.0583,15.6138,-25.6479,11.8479,43.9578,12.0979,-,0.0000,0.0000
SW_120,nan,-0.8934,2.7133,-37.178,1.3094,30.9382,0.234,-12.3245,-,0.0000
sFC,nan,-11.4457,-90.926,-159.3463,-66.8153,-40.8536,-82.5664,-114.2659,-88.6904,-
