,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.1501,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.9114
DCC_joint,nan,-3.2791,-,0.1291,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-6.7251,-3.3475,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090
SW_cross_validated,nan,-28.5815,-21.1759,-15.7818,-,0.0000,0.0000,0.0000,0.0002,0.0000
SW_15,nan,-99.6072,-85.8552,-77.1009,-74.9082,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-76.7908,-62.7319,-54.1431,-48.1318,33.1567,-,0.0000,0.0000,0.0000
SW_60,nan,-46.9029,-37.7435,-31.4515,-20.0781,53.9265,25.2057,-,0.0049,0.0000
SW_120,nan,-21.047,-18.2136,-15.4432,-6.2887,37.8904,19.1109,4.8205,-,0.0000
sFC,nan,-2.4389,1.0386,4.5465,24.6478,93.7099,70.4612,42.455,19.4372,-
