,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.2147,0.4154,0.4450,0.6188,0.3619,0.8690,0.5658,0.0000
DCC_joint,,0.2147,,0.4936,0.0581,0.0190,0.6354,0.2110,0.5316,0.0000
DCC_bivariate_loop,,0.4154,0.4936,,0.1187,0.0702,0.8592,0.4566,0.8845,0.0000
SW_cross_validated,,0.4450,0.0581,0.1187,,0.6440,0.1035,0.3347,0.1992,0.0000
SW_15,,0.6188,0.0190,0.0702,0.6440,,0.0596,0.4321,0.2188,0.0000
SW_30,,0.3619,0.6354,0.8592,0.1035,0.0596,,0.3911,0.7876,0.0000
SW_60,,0.8690,0.2110,0.4566,0.3347,0.4321,0.3911,,0.6399,0.0000
SW_120,,0.5658,0.5316,0.8845,0.1992,0.2188,0.7876,0.6399,,0.0000
sFC,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
