,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0371,0.0701,0.0211,0.0001,0.0032,0.0203,0.0909,0.0217
DCC_joint,,0.0371,,0.6906,0.0000,0.0000,0.0000,0.0001,0.0011,0.4717
DCC_bivariate_loop,,0.0701,0.6906,,0.0001,0.0000,0.0000,0.0002,0.0020,0.3143
SW_cross_validated,,0.0211,0.0000,0.0001,,0.0469,0.3410,0.8115,0.7302,0.0001
SW_15,,0.0001,0.0000,0.0000,0.0469,,0.4173,0.1332,0.0538,0.0000
SW_30,,0.0032,0.0000,0.0000,0.3410,0.4173,,0.5169,0.2575,0.0000
SW_60,,0.0203,0.0001,0.0002,0.8115,0.1332,0.5169,,0.5989,0.0001
SW_120,,0.0909,0.0011,0.0020,0.7302,0.0538,0.2575,0.5989,,0.0009
sFC,,0.0217,0.4717,0.3143,0.0001,0.0000,0.0000,0.0001,0.0009,
