,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,1.,0.0000,0.0031,1.,1.,0.9411
DCC_joint,nan,0.5414,-,1.,1.,0.0000,0.0082,1.,1.,1.
DCC_bivariate_loop,nan,0.2899,-0.2188,-,1.,0.0000,0.0132,1.,1.,1.
SW_cross_validated,nan,-1.0398,-1.3554,-1.1423,-,0.0000,0.2161,1.,1.,0.2711
SW_15,nan,-12.4723,-10.3089,-10.141,-8.8867,-,0.0001,0.0000,0.0000,0.0000
SW_30,nan,-5.0403,-4.5875,-4.3746,-3.1133,6.8206,-,1.,0.2532,0.0000
SW_60,nan,-1.7827,-1.9909,-1.7888,-0.6913,7.6366,2.1966,-,1.,0.0655
SW_120,nan,-0.9865,-1.3065,-1.0978,0.0183,8.6148,3.0406,0.6939,-,0.3447
sFC,nan,2.4233,1.4189,1.6826,3.0094,14.634,7.2705,3.6528,2.8986,-
