,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.4249,0.1599,0.0026,0.0000,0.3171,0.0134,0.0603,0.2176
DCC_joint,,0.4249,,0.0137,0.0034,0.0000,0.5995,0.0022,0.1326,0.0047
DCC_bivariate_loop,,0.1599,0.0137,,0.0000,0.0000,0.0402,0.0889,0.0023,0.5280
SW_cross_validated,,0.0026,0.0034,0.0000,,0.0000,0.1120,0.0000,0.2401,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.3171,0.5995,0.0402,0.1120,0.0000,,0.0047,0.5384,0.0494
SW_60,,0.0134,0.0022,0.0889,0.0000,0.0000,0.0047,,0.0005,0.0301
SW_120,,0.0603,0.1326,0.0023,0.2401,0.0000,0.5384,0.0005,,0.0014
sFC,,0.2176,0.0047,0.5280,0.0000,0.0000,0.0494,0.0301,0.0014,
