,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,23.48,10.07,24.25,153.91,88.00,57.47,30.83,30.03
DCC_joint,,23.48,,-8.53,7.90,152.55,77.44,43.48,18.65,5.81
DCC_bivariate_loop,,10.07,-8.53,,13.20,124.02,69.20,41.90,21.99,12.77
SW_cross_validated,,24.25,7.90,13.20,,104.23,53.18,26.83,11.16,-4.74
SW_15,,153.91,152.55,124.02,104.23,,-50.37,-81.31,-68.49,-160.11
SW_30,,88.00,77.44,69.20,53.18,-50.37,,-28.20,-30.75,-78.13
SW_60,,57.47,43.48,41.90,26.83,-81.31,-28.20,,-9.73,-42.17
SW_120,,30.83,18.65,21.99,11.16,-68.49,-30.75,-9.73,,-16.56
sFC,,30.03,5.81,12.77,-4.74,-160.11,-78.13,-42.17,-16.56,
