,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.71,4.06,9.26,48.42,30.81,19.66,10.72,2.37
DCC_joint,,1.71,,3.22,10.46,70.01,42.94,25.46,10.97,1.01
DCC_bivariate_loop,,4.06,3.22,,7.58,70.44,41.65,23.21,9.16,1.75
SW_cross_validated,,9.26,10.46,7.58,,61.56,33.00,15.26,4.67,8.06
SW_15,,48.42,70.01,70.44,61.56,,33.60,47.60,27.67,57.42
SW_30,,30.81,42.94,41.65,33.00,33.60,,17.47,12.96,35.07
SW_60,,19.66,25.46,23.21,15.26,47.60,17.47,,4.00,20.84
SW_120,,10.72,10.97,9.16,4.67,27.67,12.96,4.00,,9.68
sFC,,2.37,1.01,1.75,8.06,57.42,35.07,20.84,9.68,
