,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.4113
DCC_bivariate_loop,,,0.0031,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
SW_cross_validated,,,0.0000,0.0000,,0.0000,0.0000,0.0000,0.1760,0.0000
SW_15,,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000
SW_120,,,0.0000,0.0000,0.1760,0.0000,0.0000,0.0000,,0.0000
sFC,,,0.4113,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,
