,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.,0.8254
DCC_joint,nan,0.0166,-,0.0000,0.0000,0.0000,0.0000,0.0000,1.,0.0084
DCC_bivariate_loop,nan,14.7912,17.0047,-,0.0000,1.,0.0012,0.5227,0.0000,0.0000
SW_cross_validated,nan,-10.9398,-15.8166,-24.5764,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,13.115,14.0324,2.2365,19.4521,-,1.,1.,0.0000,0.0000
SW_30,nan,19.2335,21.3653,5.4744,27.8459,2.2738,-,1.,0.0000,0.0000
SW_60,nan,13.9738,15.0217,2.7043,20.5991,0.3425,-1.9424,-,0.0000,0.0000
SW_120,nan,-1.6923,-2.1346,-15.9581,8.654,-14.0165,-20.2392,-14.8934,-,1.
sFC,nan,-2.4868,-4.5803,-19.4137,14.5664,-15.4272,-23.4331,-16.4952,-0.1264,-
