,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,6.99,10.78,24.31,150.57,83.49,42.97,19.31,7.09
DCC_joint,,6.99,,3.96,14.29,111.90,63.08,32.65,15.17,-0.02
DCC_bivariate_loop,,10.78,3.96,,9.08,96.18,53.59,27.02,12.42,-4.02
SW_cross_validated,,24.31,14.29,9.08,,97.03,49.07,20.50,7.36,-14.48
SW_15,,150.57,111.90,96.18,97.03,,-43.52,-58.75,-41.54,-113.57
SW_30,,83.49,63.08,53.59,49.07,-43.52,,-21.37,-19.22,-63.87
SW_60,,42.97,32.65,27.02,20.50,-58.75,-21.37,,-5.39,-32.96
SW_120,,19.31,15.17,12.42,7.36,-41.54,-19.22,-5.39,,-15.24
sFC,,7.09,-0.02,-4.02,-14.48,-113.57,-63.87,-32.96,-15.24,
