,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,1.,1.,0.4392,0.0024,0.0256,1.,0.0000
DCC_joint,nan,-11.4199,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-1.9288,14.5047,-,1.,0.0002,0.0000,0.0000,0.0675,0.0000
SW_cross_validated,nan,-0.7763,11.2822,1.0634,-,0.0399,0.0001,0.0013,1.,0.0000
SW_15,nan,2.7859,17.9229,6.4795,3.8755,-,0.523,1.,0.0061,0.0000
SW_30,nan,5.1569,24.143,11.3458,6.5729,2.704,-,1.,0.0000,0.0000
SW_60,nan,4.0746,23.3366,9.9488,5.439,1.2613,-1.8802,-,0.0000,0.0000
SW_120,nan,-0.1532,19.9705,3.6398,0.9436,-4.7233,-10.4134,-8.7543,-,0.0000
sFC,nan,-55.4281,-69.0246,-111.1643,-59.9674,-82.6093,-120.113,-128.9133,-211.8846,-
