,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.3909,0.0000,0.0773,0.8502,0.0001,0.0000
DCC_joint,nan,-1.055,-,1.,1.,0.0000,0.4209,1.,0.0006,0.0000
DCC_bivariate_loop,nan,-2.3757,-1.3314,-,1.,0.0000,1.,1.,0.0212,0.0000
SW_cross_validated,nan,-2.8402,-2.1708,-1.3068,-,0.0070,1.,1.,1.,0.0000
SW_15,nan,-8.6084,-7.9469,-7.0713,-4.6588,-,0.0049,0.0000,0.0028,0.0000
SW_30,nan,-3.5786,-2.8058,-1.8063,-0.2305,4.8199,-,1.,1.,0.0000
SW_60,nan,-2.4725,-1.3059,0.1756,1.4692,7.4591,2.034,-,0.0031,0.0000
SW_120,nan,-7.0575,-5.8048,-4.1598,-1.0721,5.0858,-0.9246,-5.04,-,0.0000
sFC,nan,-89.6089,-87.3008,-82.7962,-41.3615,-33.5199,-49.2444,-105.2089,-112.0072,-
