,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,15.34,15.19,7.66,18.80,10.18,4.57,9.82,96.01
DCC_joint,,15.34,,0.58,-8.80,2.92,-6.71,-12.48,-6.75,72.87
DCC_bivariate_loop,,15.19,0.58,,-8.95,2.18,-6.97,-12.41,-7.00,65.91
SW_cross_validated,,7.66,-8.80,-8.95,,12.30,2.53,-3.68,2.29,98.80
SW_15,,18.80,2.92,2.18,12.30,,-10.23,-16.30,-10.19,73.53
SW_30,,10.18,-6.71,-6.97,2.53,-10.23,,-6.46,-0.18,100.97
SW_60,,4.57,-12.48,-12.41,-3.68,-16.30,-6.46,,6.11,113.62
SW_120,,9.82,-6.75,-7.00,2.29,-10.19,-0.18,6.11,,96.73
sFC,,96.01,72.87,65.91,98.80,73.53,100.97,113.62,96.73,
