,0,1,2,3
100206.txt,-56.63,-59.22,-53.08,-59.60
100610.txt,-60.36,-58.32,-60.15,-56.65
101006.txt,-60.45,-62.15,-61.06,-61.00
101107.txt,-54.30,-58.71,-60.81,-57.65
101309.txt,-61.05,-61.48,-61.25,-62.22
101915.txt,-54.15,-53.70,-60.59,-57.40
102008.txt,-53.95,-58.04,-58.48,-58.65
102109.txt,-59.76,-55.04,-59.85,-59.98
102311.txt,-51.57,-55.93,-56.85,-54.82
102513.txt,-57.76,-58.88,-62.74,-62.78
102614.txt,-62.66,-63.08,-62.11,-61.33
102715.txt,-61.94,-62.16,-62.75,-60.48
103010.txt,-63.25,-59.38,-58.81,-56.66
103111.txt,-61.96,-62.53,-62.23,-64.62
103212.txt,-56.45,-59.33,-64.76,-61.64
104012.txt,-62.34,-62.46,-61.33,-61.02
104416.txt,-58.20,-53.86,-57.62,-58.17
104820.txt,-60.05,-58.80,-61.10,-62.54
105014.txt,-61.40,-56.79,-60.07,-60.47
105620.txt,-60.71,-59.26,-61.16,-60.48
105923.txt,-56.66,-58.67,-56.57,-55.05
106016.txt,-58.58,-58.91,-63.10,-61.17
106521.txt,-64.30,-63.37,-63.24,-58.46
106824.txt,-57.72,-60.56,-59.45,-58.35
107018.txt,-52.34,-60.74,-52.89,-62.10
107321.txt,-58.61,-62.74,-61.38,-62.24
107422.txt,-55.39,-58.83,-61.11,-56.50
107725.txt,-56.60,-59.62,-61.61,-59.93
108020.txt,-55.33,-60.37,-57.51,-57.63
108121.txt,-58.48,-57.40,-56.82,-56.21
108222.txt,-56.99,-59.49,-58.54,-59.65
108323.txt,-55.58,-58.78,-57.03,-55.64
108525.txt,-64.19,-64.49,-61.59,-61.39
108828.txt,-58.27,-58.43,-59.11,-59.42
109123.txt,-58.91,-58.36,-60.86,-60.49
109325.txt,-58.83,-59.19,-60.15,-60.94
109830.txt,-58.82,-61.38,-59.18,-60.87
110007.txt,-59.96,-60.54,-58.07,-54.99
110613.txt,-60.76,-55.04,-53.41,-57.79
111211.txt,-57.27,-59.06,-62.18,-57.14
111413.txt,-60.46,-59.45,-61.72,-61.04
111716.txt,-61.11,-59.47,-61.88,-59.32
112112.txt,-60.29,-57.76,-59.47,-59.65
112314.txt,-59.27,-59.10,-59.45,-57.05
112516.txt,-56.30,-61.73,-61.73,-62.93
112920.txt,-59.61,-53.04,-58.90,-55.42
113316.txt,-59.72,-62.48,-60.20,-58.73
113922.txt,-55.54,-58.57,-60.76,-62.24
114217.txt,-56.71,-57.89,-60.45,-59.79
114318.txt,-59.98,-60.27,-61.75,-61.74
114419.txt,-56.85,-57.10,-64.28,-62.70
114621.txt,-59.78,-59.07,-57.09,-62.08
114823.txt,-60.44,-58.91,-60.68,-59.41
115017.txt,-58.06,-58.38,-55.69,-53.76
115219.txt,-59.92,-59.03,-64.17,-57.44
115724.txt,-57.72,-58.61,-60.26,-56.20
115825.txt,-53.29,-55.85,-50.49,-50.49
