,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.3836,0.0000,0.0324,1.,0.4787,0.0000,0.0000
DCC_joint,nan,-18.9731,-,0.0000,1.,0.0000,0.0000,0.0000,0.0000,0.1564
DCC_bivariate_loop,nan,-2.8489,40.9275,-,0.0000,1.,1.,1.,0.0000,0.0000
SW_cross_validated,nan,-9.4812,0.1852,-9.0284,-,0.0000,0.0000,0.0000,1.,1.
SW_15,nan,-3.9693,27.3491,-2.3448,8.0451,-,0.0532,0.8225,0.0000,0.0000
SW_30,nan,-1.3883,29.4345,2.1306,9.5221,3.7464,-,1.,0.0000,0.0000
SW_60,nan,-2.7456,40.3786,0.2045,9.0761,2.4885,-1.9645,-,0.0000,0.0000
SW_120,nan,-16.113,10.3573,-33.7562,1.4876,-22.0316,-24.6311,-33.3417,-,0.0000
sFC,nan,-20.0105,-3.2604,-48.9574,-0.5747,-30.6502,-32.3168,-47.9944,-17.7166,-
