,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.40,4.43,9.44,27.83,30.38,14.21,10.06,3.44
DCC_joint,,4.40,,0.01,2.87,19.74,16.34,7.92,4.86,-0.40
DCC_bivariate_loop,,4.43,0.01,,2.87,19.77,16.37,7.92,4.86,-0.41
SW_cross_validated,,9.44,2.87,2.87,,18.68,15.08,5.89,2.63,-3.10
SW_15,,27.83,19.74,19.77,18.68,,-7.77,-11.92,-14.29,-19.15
SW_30,,30.38,16.34,16.37,15.08,-7.77,,-6.45,-9.48,-15.53
SW_60,,14.21,7.92,7.92,5.89,-11.92,-6.45,,-2.75,-7.86
SW_120,,10.06,4.86,4.86,2.63,-14.29,-9.48,-2.75,,-4.98
sFC,,3.44,-0.40,-0.41,-3.10,-19.15,-15.53,-7.86,-4.98,
