,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0333,0.0000,0.0000,0.0008,0.2185,0.0000
DCC_joint,nan,1.1843,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,0.936,-0.7686,-,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-3.9572,-7.0699,-6.7836,-,0.0000,0.0003,1.,1.,0.0000
SW_15,nan,-17.393,-53.8344,-52.5375,-13.6233,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-10.5921,-31.718,-30.7726,-6.1202,16.6926,-,0.0000,0.0000,0.0000
SW_60,nan,-5.6545,-16.7981,-16.0849,-0.7375,26.3914,10.5902,-,0.0757,0.0000
SW_120,nan,-3.1082,-7.7701,-7.3319,1.6243,22.7595,11.5149,3.5877,-,0.0000
sFC,nan,7.3876,12.3401,12.7232,13.1527,44.132,31.5472,22.3192,15.285,-
